Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Houston, TX",May 2020,All Residential,Place/City,False,TX,0.972022947,-0.2%,-0.4%,2092,2.5%,-35.4%,9740,-2.9%,-10.2%,40,4,8,$228K,-3.8%,-5.0%,3649,29.9%,-20.6%
"Conroe, TX",February 2013,All Residential,Place/City,False,TX,0.962657982,0.0%,0.9%,106,26.2%,29.3%,438,-1.1%,-22.2%,59,-23,-44,$158K,2.3%,19.3%,160,12.7%,8.8%
"Conroe, TX",July 2013,All Residential,Place/City,False,TX,0.975109607,0.2%,0.8%,195,12.1%,30.0%,496,3.3%,-18.2%,43,5,-21,$185K,-7.0%,15.7%,245,14.0%,31.7%
"Houston, TX",October 2013,All Residential,Place/City,False,TX,0.974978467,-0.4%,0.9%,2587,2.7%,13.1%,7052,-2.8%,-15.1%,32,4,-21,$163K,-4.7%,5.4%,2900,-2.5%,10.5%
"Sugar Land, TX",November 2013,All Residential,Place/City,False,TX,0.966097454,-0.6%,-0.3%,156,-11.9%,4.0%,346,-6.0%,-26.2%,28,5,-41,$284K,9.1%,19.1%,157,-31.4%,27.6%
"Texas City, TX",June 2014,All Residential,Place/City,False,TX,0.937923339,-1.3%,-1.3%,47,-7.8%,62.1%,152,-1.3%,-27.6%,31,-45,-19,$89K,-15.3%,-13.7%,65,20.4%,41.3%
"Missouri City, TX",September 2014,All Residential,Place/City,False,TX,0.979952075,0.2%,0.7%,120,-31.8%,-6.3%,378,0.3%,-3.1%,18,-5,-24,$215K,-14.0%,0.4%,162,-4.7%,20.0%
"League City, TX",February 2015,All Residential,Place/City,False,TX,0.978563327,-0.3%,0.8%,137,26.9%,-5.5%,368,0.8%,-10.9%,48,11,-5,$228K,4.7%,8.6%,183,10.9%,-7.1%
"Sugar Land, TX",October 2015,All Residential,Place/City,False,TX,0.965712743,-0.6%,-1.3%,167,-10.2%,2.5%,557,0.7%,63.3%,42,7,10,$325K,-2.5%,1.6%,206,-2.4%,15.7%
"Conroe, TX",October 2015,All Residential,Place/City,False,TX,0.968709950,0.1%,-0.5%,157,-22.7%,-6.5%,740,4.7%,36.0%,52,11,13,$220K,0.7%,17.1%,218,-1.8%,15.3%
"Texas City, TX",November 2015,All Residential,Place/City,False,TX,0.937318854,-0.8%,-2.0%,38,-19.1%,26.7%,115,-6.5%,-23.8%,59,24,20,$106K,14.0%,1.0%,44,0.0%,7.3%
"Friendswood, TX",November 2016,All Residential,Place/City,False,TX,0.963942348,-1.7%,-2.0%,67,21.8%,55.8%,171,-3.4%,18.8%,57,36,35,$320K,39.7%,60.0%,60,5.3%,36.4%
"Friendswood, TX",December 2016,All Residential,Place/City,False,TX,0.971174515,0.7%,0.1%,61,-9.0%,19.6%,158,-7.6%,17.9%,21,-36,-10,$241K,-24.7%,11.2%,52,-13.3%,4.0%
"Texas City, TX",July 2017,All Residential,Place/City,False,TX,0.987311770,0.8%,-0.3%,59,7.3%,22.9%,191,24.0%,81.9%,8,-20,-11,$150K,6.0%,26.6%,86,-13.1%,72.0%
"Pasadena, TX",November 2018,All Residential,Place/City,False,TX,0.968381772,-0.1%,-0.2%,61,-29.1%,-22.8%,212,-3.6%,42.3%,19,1,-13,$174K,12.7%,2.4%,85,-14.1%,11.8%
"Conroe, TX",December 2018,All Residential,Place/City,False,TX,0.968006404,-0.3%,0.5%,195,0.0%,-3.0%,725,-8.5%,6.8%,77,13,27,$252K,13.5%,9.7%,135,-25.0%,-10.0%
"League City, TX",January 2019,All Residential,Place/City,False,TX,0.978341420,0.1%,-0.1%,90,-35.7%,-12.6%,467,2.9%,41.1%,54,7,22,$258K,-2.1%,-2.7%,192,74.5%,14.3%
"League City, TX",February 2019,All Residential,Place/City,False,TX,0.978720715,0.0%,0.3%,138,53.3%,3.0%,456,-2.4%,43.8%,46,-8,-13,$280K,8.4%,4.8%,190,-1.0%,20.3%
"Friendswood, TX",April 2012,All Residential,Place/City,False,TX,0.958173792,1.1%,1.6%,59,-1.7%,227.8%,298,2.4%,10.4%,104,6,-63,$158K,-17.2%,-7.9%,105,7.1%,47.9%
"Texas City, TX",March 2013,All Residential,Place/City,False,TX,0.947204958,-1.3%,-3.7%,33,17.9%,17.9%,196,1.6%,-8.8%,74,17,7,$72K,1.8%,-4.8%,50,51.5%,-2.0%
"League City, TX",July 2013,All Residential,Place/City,False,TX,0.975295648,-0.3%,0.5%,241,30.3%,40.9%,499,5.9%,-17.5%,29,-3,-22,$197K,-1.5%,5.0%,244,10.9%,27.1%
"Missouri City, TX",August 2013,All Residential,Place/City,False,TX,0.973904164,-0.3%,0.8%,204,18.6%,47.8%,396,-6.2%,-26.7%,34,0,-20,$207K,2.6%,18.0%,143,-33.2%,-13.9%
"Conroe, TX",November 2013,All Residential,Place/City,False,TX,0.973011814,-0.1%,1.4%,117,-11.4%,-6.4%,437,-5.2%,-15.6%,52,11,-19,$180K,5.0%,2.9%,115,-23.8%,-9.4%
"League City, TX",July 2014,All Residential,Place/City,False,TX,0.982358332,0.0%,0.7%,189,-11.3%,-21.6%,450,10.6%,-9.8%,21,2,-8,$215K,0.0%,9.2%,271,41.1%,11.1%
"Texas City, TX",September 2014,All Residential,Place/City,False,TX,0.962922388,1.0%,1.6%,47,6.8%,62.1%,165,-4.6%,-24.0%,46,-13,-26,$120K,20.9%,39.5%,52,-11.9%,4.0%
"Houston, TX",December 2014,All Residential,Place/City,False,TX,0.978680283,0.2%,0.5%,2665,21.9%,4.8%,5973,-5.3%,-1.7%,28,-1,-6,$194K,7.6%,3.1%,2128,-13.7%,9.7%
"Galveston, TX",April 2015,All Residential,Place/City,False,TX,0.958228381,-0.1%,0.8%,117,30.0%,4.5%,594,0.2%,-11.2%,81,37,17,$160K,-7.5%,-3.9%,153,-15.0%,-12.6%
"Missouri City, TX",July 2015,All Residential,Place/City,False,TX,0.980038742,-0.8%,-0.4%,150,-20.2%,-8.0%,390,9.2%,1.0%,20,6,-2,$260K,9.6%,6.1%,209,3.5%,8.9%
"Sugar Land, TX",September 2015,All Residential,Place/City,False,TX,0.971886613,-0.8%,-1.2%,186,-25.9%,-18.1%,553,-1.1%,56.2%,35,11,18,$333K,3.2%,13.0%,211,-4.5%,29.4%
"Galveston, TX",September 2015,All Residential,Place/City,False,TX,0.952572227,0.7%,-0.6%,106,-6.2%,7.1%,590,-6.5%,-3.0%,54,-11,-33,$183K,5.7%,0.1%,126,-46.6%,-6.0%
"League City, TX",October 2015,All Residential,Place/City,False,TX,0.979739932,0.1%,0.3%,159,-22.4%,-2.5%,396,1.8%,-8.1%,26,-1,-10,$240K,2.1%,18.2%,169,-15.1%,-2.9%
"League City, TX",November 2015,All Residential,Place/City,False,TX,0.977308320,-0.2%,-0.3%,109,-31.4%,-28.3%,372,-6.1%,-6.1%,22,-4,-24,$229K,-4.6%,9.2%,133,-21.3%,-2.2%
"Texas City, TX",December 2015,All Residential,Place/City,False,TX,0.972959952,3.6%,2.3%,40,5.3%,0.0%,100,-13.0%,-27.5%,44,-15,-7,$113K,7.0%,12.9%,30,-31.8%,-11.8%
"League City, TX",March 2016,All Residential,Place/City,False,TX,0.984577290,0.9%,0.7%,168,32.3%,-6.7%,402,4.1%,18.2%,25,-15,-1,$244K,4.1%,4.7%,219,17.1%,12.9%
"Baytown, TX",October 2016,All Residential,Place/City,False,TX,0.975814008,0.1%,0.5%,93,-11.4%,24.0%,258,-2.6%,-10.7%,25,-5,-12,$175K,-0.1%,16.6%,101,-14.4%,-8.2%
"Texas City, TX",April 2017,All Residential,Place/City,False,TX,0.966260801,-1.1%,2.6%,46,12.2%,-14.8%,123,3.4%,11.8%,25,-12,-7,$122K,-21.3%,12.1%,68,-1.4%,-4.2%
"Houston, TX",April 2017,All Residential,Place/City,False,TX,0.973047302,0.4%,0.1%,2631,-7.1%,5.3%,9496,4.9%,5.2%,30,-7,2,$214K,1.9%,4.4%,4078,-7.6%,11.6%
"Galveston, TX",May 2017,All Residential,Place/City,False,TX,0.945636119,-1.0%,-0.3%,153,31.9%,23.4%,661,4.8%,2.0%,62,14,19,$235K,26.7%,10.7%,204,20.7%,9.1%
"Houston, TX",July 2017,All Residential,Place/City,False,TX,0.974239077,0.1%,0.0%,2706,-13.8%,-0.5%,10971,4.7%,13.0%,28,1,-1,$210K,-6.7%,-2.3%,4012,-3.6%,6.3%
"Friendswood, TX",September 2017,All Residential,Place/City,False,TX,0.979576003,0.0%,0.8%,75,7.1%,2.7%,190,-11.6%,1.6%,29,10,6,$275K,-10.6%,14.6%,66,-17.5%,-1.5%
"Houston, TX",December 2017,All Residential,Place/City,False,TX,0.965274965,-0.1%,-0.2%,2675,11.0%,-1.0%,8227,-9.4%,2.1%,44,-3,-1,$217K,4.2%,0.8%,2127,-25.8%,8.4%
"League City, TX",February 2018,All Residential,Place/City,False,TX,0.975343109,-0.4%,-0.8%,134,30.1%,7.2%,317,-4.2%,-14.1%,59,27,22,$267K,0.7%,8.9%,158,-6.0%,-17.3%
"Missouri City, TX",March 2018,All Residential,Place/City,False,TX,0.969406637,-0.2%,0.0%,129,27.7%,-5.1%,471,7.0%,1.9%,65,17,23,$258K,10.5%,0.0%,215,32.7%,-6.1%
"Conroe, TX",March 2019,All Residential,Place/City,False,TX,0.970858750,0.0%,0.0%,227,35.9%,12.9%,774,3.9%,6.5%,54,-25,7,$240K,5.2%,10.0%,282,22.1%,-9.0%
"Pasadena, TX",June 2019,All Residential,Place/City,False,TX,0.977862689,-1.0%,-0.1%,82,-16.3%,-23.4%,200,-4.3%,7.0%,19,-5,4,$175K,0.0%,-2.9%,119,-7.8%,-16.8%
"Baytown, TX",June 2019,All Residential,Place/City,False,TX,0.980081966,0.1%,-0.3%,88,-19.3%,-36.2%,321,13.4%,8.8%,34,7,17,$209K,10.0%,14.1%,169,14.2%,15.0%
"Texas City, TX",July 2019,All Residential,Place/City,False,TX,0.975047595,-0.5%,-0.8%,55,-40.2%,-35.3%,235,12.4%,4.4%,28,-11,0,$187K,-0.5%,2.1%,89,6.0%,4.7%
"League City, TX",September 2019,All Residential,Place/City,False,TX,0.980650070,0.0%,0.8%,165,-29.2%,0.0%,472,-4.1%,-11.6%,33,2,6,$280K,2.4%,5.7%,175,-15.5%,15.1%
"Conroe, TX",November 2019,All Residential,Place/City,False,TX,0.973595823,-0.3%,0.3%,213,10.9%,9.2%,716,-5.3%,-9.6%,56,2,-8,$240K,-4.0%,8.1%,186,-21.5%,3.3%
"Sugar Land, TX",February 2012,All Residential,Place/City,False,TX,0.952058437,-0.5%,0.6%,113,24.2%,20.2%,563,1.1%,-28.0%,88,9,10,$220K,-0.7%,-5.0%,183,27.1%,-9.0%
"Baytown, TX",June 2012,All Residential,Place/City,False,TX,0.969166216,-0.3%,1.2%,92,41.5%,16.5%,447,6.7%,-19.6%,57,-3,-22,$119K,-3.0%,20.6%,141,18.5%,11.9%
"Galveston, TX",December 2012,All Residential,Place/City,False,TX,0.938088449,-0.3%,,70,-4.1%,,526,-3.7%,,97,-14,,$159K,-11.7%,,81,-15.6%,
"Texas City, TX",May 2013,All Residential,Place/City,False,TX,0.972041631,4.5%,2.2%,46,48.4%,53.3%,213,7.6%,-2.3%,73,-10,12,$101K,32.4%,19.2%,67,15.5%,55.8%
"Baytown, TX",June 2013,All Residential,Place/City,False,TX,0.977940360,0.4%,0.9%,79,-25.5%,-14.1%,357,-0.8%,-20.1%,74,6,17,$126K,5.0%,5.7%,107,-20.7%,-24.1%
"Galveston, TX",July 2013,All Residential,Place/City,False,TX,0.955382895,1.3%,2.0%,106,1.9%,23.3%,581,-6.4%,-2.4%,88,-21,12,$171K,-10.9%,-3.2%,104,-23.5%,-17.5%
"Friendswood, TX",August 2013,All Residential,Place/City,False,TX,0.975416308,0.1%,1.2%,93,-17.7%,9.4%,198,7.0%,-24.4%,37,9,-15,$226K,-0.6%,22.2%,92,0.0%,24.3%
"Pasadena, TX",December 2013,All Residential,Place/City,False,TX,0.960275065,-1.4%,-1.0%,85,46.6%,54.5%,267,-11.6%,-14.1%,69,13,13,$125K,15.4%,46.9%,55,-27.6%,0.0%
"Houston, TX",April 2014,All Residential,Place/City,False,TX,0.982586879,0.2%,0.6%,2624,3.4%,-6.9%,5708,0.2%,-16.4%,23,-3,-4,$185K,3.6%,2.8%,3678,12.3%,-0.1%
"Sugar Land, TX",June 2014,All Residential,Place/City,False,TX,0.990040474,0.3%,1.2%,257,34.6%,-6.5%,390,14.0%,-1.8%,11,-3,-3,$325K,3.2%,19.0%,289,-6.8%,-3.7%
"Galveston, TX",January 2016,All Residential,Place/City,False,TX,0.936244850,-1.3%,-2.1%,60,-25.0%,20.0%,496,1.6%,-7.8%,90,24,4,$176K,1.4%,1.3%,140,68.7%,-4.1%
"Conroe, TX",April 2016,All Residential,Place/City,False,TX,0.972867386,0.2%,-0.7%,165,-4.1%,-4.6%,754,1.1%,24.8%,52,3,19,$222K,2.0%,11.2%,252,4.1%,2.0%
"Sugar Land, TX",June 2012,All Residential,Place/City,False,TX,0.964920328,-0.3%,0.8%,228,6.0%,17.5%,634,4.1%,-27.5%,45,14,-13,$238K,5.8%,-9.2%,285,3.3%,-1.0%
"League City, TX",June 2012,All Residential,Place/City,False,TX,0.977449236,0.5%,1.4%,153,-14.5%,3725.0%,585,-0.3%,4.7%,49,-22,-92,$185K,0.1%,-26.8%,203,-1.5%,70.6%
"Friendswood, TX",November 2012,All Residential,Place/City,False,TX,0.952789572,-1.7%,-1.5%,60,-10.4%,233.3%,237,-4.0%,-26.2%,74,12,7,$163K,-1.2%,16.5%,45,-34.8%,-13.5%
"Baytown, TX",December 2012,All Residential,Place/City,False,TX,0.958611352,-0.9%,-1.2%,61,-4.7%,-18.7%,380,-1.8%,-6.6%,102,14,12,$120K,-9.3%,2.1%,60,-21.1%,-17.8%
"Pasadena, TX",February 2013,All Residential,Place/City,False,TX,0.943281942,-0.2%,-2.0%,79,14.5%,54.9%,293,-7.0%,-22.5%,116,29,29,$93K,-9.8%,0.0%,87,-18.7%,-5.4%
"Missouri City, TX",April 2013,All Residential,Place/City,False,TX,0.969013332,0.7%,0.4%,142,-2.1%,23.5%,429,-4.5%,-22.7%,56,-9,1,$217K,20.5%,25.6%,189,-3.1%,-6.0%
"Pasadena, TX",May 2013,All Residential,Place/City,False,TX,0.971638879,-0.6%,-0.4%,86,14.7%,16.2%,297,-2.3%,-21.2%,61,19,-25,$128K,11.6%,12.0%,131,18.0%,32.3%
"Baytown, TX",July 2013,All Residential,Place/City,False,TX,0.983851563,0.6%,0.2%,74,-6.3%,-9.8%,342,-4.2%,-21.9%,55,-19,-14,$131K,3.8%,9.0%,103,-3.7%,-6.4%
"Friendswood, TX",October 2013,All Residential,Place/City,False,TX,0.964309442,-0.8%,-0.6%,68,11.5%,1.5%,179,-6.3%,-27.5%,49,11,-13,$218K,14.5%,31.8%,55,-21.4%,-20.3%
"Texas City, TX",January 2014,All Residential,Place/City,False,TX,0.932477899,-0.4%,0.7%,22,-35.3%,-15.4%,177,-2.7%,-14.9%,100,9,-23,$82K,-29.9%,-0.7%,45,80.0%,-8.2%
"Baytown, TX",June 2014,All Residential,Place/City,False,TX,0.985632857,-0.1%,0.8%,97,-8.5%,22.8%,272,8.4%,-23.8%,35,-7,-39,$140K,3.7%,11.1%,124,10.7%,15.9%
"Missouri City, TX",August 2014,All Residential,Place/City,False,TX,0.978173142,-0.5%,0.4%,176,8.0%,-13.7%,377,-2.3%,-4.8%,23,1,-11,$250K,2.0%,21.1%,170,-11.5%,18.9%
"Missouri City, TX",October 2014,All Residential,Place/City,False,TX,0.966394482,-1.4%,-0.3%,154,28.3%,25.2%,338,-10.6%,-11.3%,32,14,-18,$215K,0.0%,7.3%,139,-14.2%,-8.6%
"Missouri City, TX",February 2015,All Residential,Place/City,False,TX,0.986745618,0.8%,1.8%,105,10.5%,20.7%,294,0.3%,-23.2%,36,-6,-25,$212K,-5.6%,18.2%,136,-16.6%,-26.1%
"Baytown, TX",March 2015,All Residential,Place/City,False,TX,0.977408432,-0.1%,0.2%,99,43.5%,23.8%,210,-8.3%,-19.2%,50,-27,-2,$158K,1.9%,39.2%,110,20.9%,-1.8%
"Sugar Land, TX",August 2015,All Residential,Place/City,False,TX,0.979465298,0.2%,-0.2%,251,5.0%,4.6%,559,-8.4%,40.8%,24,6,7,$323K,2.5%,5.9%,221,-34.2%,-4.3%
"Conroe, TX",September 2015,All Residential,Place/City,False,TX,0.968183943,-0.9%,-0.7%,203,17.3%,23.8%,707,0.6%,33.4%,41,10,19,$218K,-4.8%,11.0%,222,-0.4%,7.2%
"Conroe, TX",February 2016,All Residential,Place/City,False,TX,0.968893664,-0.4%,-0.5%,132,38.9%,-0.8%,714,2.3%,23.1%,69,-1,11,$210K,-3.7%,-8.1%,237,9.7%,10.7%
"Baytown, TX",June 2016,All Residential,Place/City,False,TX,0.978227869,-0.2%,-0.1%,105,-0.9%,-5.4%,266,6.8%,17.2%,27,-6,10,$167K,-0.3%,7.7%,147,27.8%,17.6%
"Pasadena, TX",January 2017,All Residential,Place/City,False,TX,0.967602786,-0.7%,-0.7%,52,-43.5%,-7.1%,164,-3.0%,-9.4%,50,17,8,$135K,-17.7%,8.9%,84,33.3%,-16.0%
"Missouri City, TX",March 2017,All Residential,Place/City,False,TX,0.969798300,0.1%,-0.2%,136,33.3%,0.7%,462,7.9%,18.5%,42,-25,0,$258K,0.8%,10.0%,229,47.7%,18.0%
"Baytown, TX",January 2018,All Residential,Place/City,False,TX,0.966437059,-0.8%,0.4%,79,-35.8%,12.9%,212,3.9%,-1.9%,38,6,-12,$182K,-5.0%,17.8%,109,62.7%,12.4%
"Conroe, TX",February 2018,All Residential,Place/City,False,TX,0.958487945,-1.5%,-1.6%,159,1.9%,-3.6%,656,0.5%,-7.7%,62,-16,-16,$215K,-9.1%,-3.2%,239,28.5%,-4.8%
"Baytown, TX",September 2018,All Residential,Place/City,False,TX,0.977077020,0.1%,-0.3%,95,-22.8%,6.7%,320,-3.9%,14.7%,33,1,17,$183K,-6.4%,5.8%,118,-12.6%,18.0%
"Conroe, TX",September 2018,All Residential,Place/City,False,TX,0.966762244,-0.9%,-0.2%,186,-20.2%,-2.6%,838,-1.5%,8.8%,54,15,7,$236K,-2.3%,3.1%,218,-15.8%,-7.2%
"Friendswood, TX",November 2018,All Residential,Place/City,False,TX,0.966857320,0.2%,-0.4%,60,-18.9%,-14.3%,250,-6.7%,39.7%,63,22,5,$263K,3.5%,7.3%,60,-24.1%,-14.3%
"Pasadena, TX",January 2019,All Residential,Place/City,False,TX,0.970305017,-0.7%,0.2%,59,-24.4%,15.7%,212,-1.9%,73.8%,40,12,22,$157K,-6.6%,0.0%,96,60.0%,41.2%
"Missouri City, TX",January 2019,All Residential,Place/City,False,TX,0.971645543,0.8%,1.4%,90,-40.8%,1.1%,573,1.8%,29.9%,52,-24,1,$234K,-12.8%,2.6%,160,37.9%,30.1%
"Galveston, TX",February 2019,All Residential,Place/City,False,TX,0.938658508,-2.8%,-2.1%,89,29.0%,-7.3%,568,9.2%,0.0%,83,12,16,$211K,0.0%,-4.0%,186,21.6%,10.7%
"Texas City, TX",March 2019,All Residential,Place/City,False,TX,0.969301462,-1.4%,0.9%,69,3.0%,25.5%,216,-1.8%,16.1%,49,-28,21,$189K,8.1%,23.6%,76,2.7%,-8.4%
"Missouri City, TX",May 2019,All Residential,Place/City,False,TX,0.977462088,1.1%,0.4%,190,17.3%,5.6%,660,13.4%,23.1%,37,-9,0,$247K,-5.7%,-7.7%,264,3.5%,10.0%
"Texas City, TX",December 2019,All Residential,Place/City,False,TX,0.987950039,1.6%,2.4%,58,1.8%,-22.7%,262,2.7%,13.9%,88,49,45,$200K,5.1%,14.0%,75,2.7%,36.4%
"Texas City, TX",January 2020,All Residential,Place/City,False,TX,0.982112265,-0.6%,-1.4%,43,-25.9%,22.9%,252,-3.8%,12.0%,46,-42,11,$199K,-0.3%,1.0%,71,-5.3%,-4.1%
"League City, TX",March 2020,All Residential,Place/City,False,TX,0.988605469,0.2%,1.4%,160,41.6%,-12.6%,387,10.6%,-13.4%,33,-26,-11,$281K,1.4%,4.1%,245,30.3%,12.9%
"League City, TX",November 2012,All Residential,Place/City,False,TX,0.973135843,-0.2%,-0.7%,117,-18.8%,3800.0%,524,-1.5%,-22.8%,71,9,-54,$192K,2.9%,-12.3%,131,-23.8%,10.1%
"Sugar Land, TX",April 2014,All Residential,Place/City,False,TX,0.973116369,-1.2%,0.7%,202,6.9%,0.5%,301,-1.0%,-10.9%,17,1,-4,$305K,-2.9%,26.0%,256,7.1%,2.8%
"Baytown, TX",July 2014,All Residential,Place/City,False,TX,0.973147182,-1.2%,-1.1%,84,-13.4%,13.5%,310,14.0%,-9.4%,21,-14,-34,$143K,1.8%,9.0%,136,9.7%,32.0%
"Texas City, TX",January 2015,All Residential,Place/City,False,TX,0.954562457,0.5%,2.2%,33,-17.5%,50.0%,124,-10.1%,-29.9%,59,8,-41,$82K,-18.9%,-0.2%,44,29.4%,-2.2%
"Missouri City, TX",April 2015,All Residential,Place/City,False,TX,0.981498119,0.6%,0.4%,143,5.1%,-9.5%,309,7.3%,-7.2%,26,7,-5,$257K,14.0%,16.2%,208,19.5%,15.6%
"Pasadena, TX",May 2015,All Residential,Place/City,False,TX,0.973778601,-0.9%,0.0%,95,-5.9%,4.4%,167,1.8%,-23.4%,20,4,-36,$138K,6.2%,11.3%,100,-17.4%,-13.8%
"Conroe, TX",June 2015,All Residential,Place/City,False,TX,0.976075762,0.0%,0.1%,223,12.6%,18.0%,686,9.1%,48.2%,28,-5,9,$215K,2.7%,16.2%,273,3.4%,12.8%
"Friendswood, TX",July 2015,All Residential,Place/City,False,TX,0.991123217,0.4%,1.5%,86,2.4%,-3.4%,155,18.3%,-7.2%,14,7,4,$227K,0.4%,-3.9%,103,4.0%,15.7%
